DomainName,Cluster
10er-tagesticket.de,Regio Schiene
20jahrebahncard.de,Fernverkehr
20-jahre-bahncard.de,Fernverkehr
25jahreice.de,Fernverkehr
49eur.de,VT-Plattform (passiv)
abo-mehr.com,VT-Plattform (passiv)
abo-mehr.de,VT-Plattform (passiv)
abo-offensive.de,VT-Plattform (passiv)
aboservice-bahn.de,P.DL
aboticket.com,VT-Plattform (passiv)
abo-ticket.com,VT-Plattform (passiv)
abo-ticket.de,VT-Plattform (passiv)
aboundmehr.com,VT-Plattform (passiv)
aboundmehr.de,VT-Plattform (passiv)
adventskalender-bahn.de,P.DL
aeorcityliner.biz,Sonstige
aeorcityliner.com,Sonstige
aeorcitytiner.de,Sonstige
aeorcityliner.info,Sonstige
aeorcityliner.net,Sonstige
aeorcityliner.org,Sonstige
aerocityliner.biz,Sonstige
aerocityliner.com,Sonstige
aerocityliner.de,Sonstige
aerocityliner.eu,Sonstige
aerocityliner.info,Sonstige
aerocityliner.net,Sonstige
aerocityliner.org,Sonstige
aerorapid.biz,Sonstige
aerorapid.com,Sonstige
aerorapid.de,Sonstige
aerorapid.eu,Sonstige
aerorapid.info,Sonstige
aerorapid.net,Sonstige
aerorapid.org,Sonstige
airapid.biz,Sonstige
airapid.com,Sonstige
airapid.de,Sonstige
airapid.eu,Sonstige
airapid.info,Sonstige
airapid.net,Sonstige
airapid.org,Sonstige
airportcityexpress.biz,Sonstige
airportcityexpress.com,Sonstige
airportcityexpress.de,Sonstige
airportcityexpress.info,Sonstige
airportcityexpress.net,Sonstige
airportcityexpress.org,Sonstige
airportcityliner.biz,Sonstige
airportcityliner.com,Sonstige
airportcityliner.de,Sonstige
airportcityliner.info,Sonstige
airportcityliner.net,Sonstige
airportcityliner.org,Sonstige
airport-sprinter.eu,Sonstige
airrapid.eu,Sonstige
airxpress.eu,Sonstige
ak-schnellbus.de,Regio Bus
allersbergexpress.de,Regio Schiene
allersberg-express.de,Regio Schiene
allgaeufrankenexpress.de,Regio Schiene
allgaeu-franken-express.de,Regio Schiene
alpha-bahn.de,VT-Plattform (passiv)
altmarkbahn.biz,Regio Schiene
altmarkbahn.com,Regio Schiene
altmarkbahn.info,Regio Schiene
altmarkbahn.net,Regio Schiene
altmarkbahn.org,Regio Schiene
amsterdamonice.co.uk,Fernverkehr
amsterdam-on-ice.co.uk,Fernverkehr
amsterdamonice.com,Fernverkehr
amsterdam-on-ice.com,Fernverkehr
anaflok.de,Sonstige
analyse-bahn.de,P.DL
anhaltinischebahn.biz,Regio Schiene
anhaltinische-bahn.biz,Regio Schiene
anhaltinischebahn.com,Regio Schiene
anhaltinische-bahn.com,Regio Schiene
anhaltinischebahn.de,Regio Schiene
anhaltinische-bahn.de,Regio Schiene
anhaltinischebahn.info,Regio Schiene
anhaltinische-bahn.info,Regio Schiene
anhaltinischebahn.net,Regio Schiene
anhaltinische-bahn.net,Regio Schiene
anhaltinischebahn.org,Regio Schiene
anhaltinische-bahn.org,Regio Schiene
apps-bahn.de,VT-Plattform (passiv)
apps-bahn-tat.de,VT-Plattform (passiv)
autokraft.de,Regio Bus
autokraft-reisen.de,Regio Bus
autokraft-schnellbus.de,Regio Bus
autoverzicht.de,Sonstige
aw-handyticket.de,DB Vertrieb
baederbus.de,Regio Bus
bagn.de,VT-Plattform (passiv)
bahn.be,VT-Plattform (passiv)
bahn.co.uk,VT-Plattform (passiv)
bahn.com,VT-Plattform (aktiv)
bahn.de,VT-Plattform (aktiv)
bahn.eu,VT-Plattform (passiv)
bahn.fail,Sonstige
bahn.fr,VT-Plattform (passiv)
bahn.info,VT-Plattform (passiv)
bahn.it,VT-Plattform (passiv)
bahn.media,Sonstige
bahn.net,VT-Plattform (passiv)
bahn.se,VT-Plattform (passiv)
bahn-adventskalender.de,P.DL
bahnaktie.net,Sonstige
bahnauskunft.de,VT-Plattform (passiv)
bahnbonus.biz,Fernverkehr
bahn-bonus.biz,Fernverkehr
bahnbonus.com,Fernverkehr
bahn-bonus.com,Fernverkehr
bahnbonus.info,Fernverkehr
bahn-bonus.info,Fernverkehr
bahnbonus.net,Fernverkehr
bahn-bonus.net,Fernverkehr
bahnbonus.org,Fernverkehr
bahn-bonus.org,Fernverkehr
bahnbonus-freizeitwelt.de,Fernverkehr
bahnbonusonlineshopping.de,Fernverkehr
bahnbonus-onlineshopping.de,Fernverkehr
bahn-bonus-onlineshopping.de,Fernverkehr
bahnbonus-praemienwelt.de,Fernverkehr
bahnbonusshopping.de,Fernverkehr
bahn-bonus-shopping.de,Fernverkehr
bahnbonusshoppingwelt.de,Fernverkehr
bahnbonus-shoppingwelt.de,Fernverkehr
bahn-bonus-shoppingwelt.de,Fernverkehr
bahnbonusstatus.com,Fernverkehr
bahnbonus-status.com,Fernverkehr
bahn-bonus-status.com,Fernverkehr
bahnbonusstatus.de,Fernverkehr
bahnbonus-status.de,Fernverkehr
bahn-bonus-status.de,Fernverkehr
bahnbonusstatus.eu,Fernverkehr
bahnbonus-status.eu,Fernverkehr
bahn-bonus-status.eu,Fernverkehr
bahnbonusupdate.com,Fernverkehr
bahnbonus-update.com,Fernverkehr
bahnbonusupdate.de,Fernverkehr
bahnbonus-update.de,Fernverkehr
bahnbonusupdate.net,Fernverkehr
bahnbonus-update.net,Fernverkehr
bahnbonusupdate.org,Fernverkehr
bahnbonus-update.org,Fernverkehr
bahnbtm.de,P.DL
bahnbuchung.de,VT-Plattform (passiv)
bahnbus.de,Regio Bus
bahnbus-hochstift.de,Regio Schiene
bahnbusiness.com,VT-Plattform (passiv)
bahnbusiness.de,VT-Plattform (aktiv)
bahncard.biz,Fernverkehr
bahn-card.biz,Fernverkehr
bahncard.de,Fernverkehr
bahn-card.de,Fernverkehr
bahncard.info,Fernverkehr
bahn-card.info,Fernverkehr
bahncard.net,Fernverkehr
bahncard.org,Fernverkehr
bahncard-100.com,Fernverkehr
bahncard-25.biz,Fernverkehr
bahncard-25.com,Fernverkehr
bahncard-25.de,Fernverkehr
bahncard-25.info,Fernverkehr
bahncard-25.net,Fernverkehr
bahncard-25.org,Fernverkehr
bahncard-50.biz,Fernverkehr
bahncard50.com,Fernverkehr
bahncard-50.com,Fernverkehr
bahncard-50.de,Fernverkehr
bahncard-50.info,Fernverkehr
bahncard-50.net,Fernverkehr
bahncard-50.org,Fernverkehr
bahncard-aktionen.de,Fernverkehr
bahncardbude.com,Fernverkehr
bahncard-bude.com,Fernverkehr
bahncardbude.de,Fernverkehr
bahncard-bude.de,Fernverkehr
bahncardbude.eu,Fernverkehr
bahncard-bude.eu,Fernverkehr
bahncardbude.info,Fernverkehr
bahncard-bude.info,Fernverkehr
bahncardbude.net,Fernverkehr
bahncard-bude.net,Fernverkehr
bahncardbude.org,Fernverkehr
bahncard-bude.org,Fernverkehr
bahncard-empfehlen.de,Fernverkehr
bahncardreisen.de,Fernverkehr
bahncard-reisen.de,Fernverkehr
bahncards.biz,Fernverkehr
bahncards.com,Fernverkehr
bahncards.de,Fernverkehr
bahncards.info,Fernverkehr
bahncards.net,Fernverkehr
bahncards.org,Fernverkehr
bahncardservice.de,Fernverkehr
bahncard-service.de,Fernverkehr
bahncardurlaub.de,Fernverkehr
bahncard-urlaub.de,Fernverkehr
bahncart.biz,Fernverkehr
bahncart.com,Fernverkehr
bahncart.de,Fernverkehr
bahncartinfo,Fernverkehr
bahncart.net,Fernverkehr
bahncart.org,Fernverkehr
bahncomfort.biz,Fernverkehr
bahn-comfort.biz,Fernverkehr
bahncomfort.com,Fernverkehr
bahn-comfort.com,Fernverkehr
bahncomfort.de,Fernverkehr
bahn-comfort.de,Fernverkehr
bahn-comfort.eu,Fernverkehr
bahncomfort.info,Fernverkehr
bahn-comfort.info,Fernverkehr
bahncorporate.com,Fernverkehr
bahn-corporate.com,Fernverkehr
bahncorporate.de,Fernverkehr
bahn-corporate.de,Fernverkehr
bahncorporate.eu,Fernverkehr
bahn-corporate.eu,Fernverkehr
bahncorporate.net,Fernverkehr
bahn-corporate.net,Fernverkehr
bahncorporate.org,Fernverkehr
bahn-corporate.org,Fernverkehr
bahncorporate-g.com,Fernverkehr
bahn-corporate-g.com,Fernverkehr
bahncorporate-g.de,Fernverkehr
bahn-corporate-g.de,Fernverkehr
bahncorporate-g.net,Fernverkehr
bahn-corporate-g.net,Fernverkehr
bahncorporate-g.org,Fernverkehr
bahn-corporate-g.org,Fernverkehr
bahncorporate-m.com,Fernverkehr
bahn-corporate-m.com,Fernverkehr
bahncorporate-m.de,Fernverkehr
bahn-corporate-m.de,Fernverkehr
bahncorporate-m.net,Fernverkehr
bahn-corporate-m.net,Fernverkehr
bahncorporate-m.org,Fernverkehr
bahn-corporate-m.org,Fernverkehr
bahndirect.de,VT-Plattform (passiv)
bahn-direct.de,VT-Plattform (passiv)
bahndirekt.de,VT-Plattform (passiv)
bahn-direkt.de,VT-Plattform (passiv)
bahnfahrenimsuedwesten.de,Regio Schiene
bahnfahren-im-suedwesten.de,Regio Schiene
bahnfahrkarten.biz,VT-Plattform (passiv)
bahnfahrkarten.net,VT-Plattform (passiv)
bahnfahrkarten.org,VT-Plattform (passiv)
bahn-geschenketicket.de,Fernverkehr
bahn-id.de,VT-Plattform (passiv)
bahn-idee.de,Sonstige
bahninform.de,Sonstige
bahninmotion.biz,Fernverkehr
bahn-in-motion.biz,Fernverkehr
bahninmotion.com,Fernverkehr
bahn-in-motion.com,Fernverkehr
bahninmotion.de,Fernverkehr
bahn-in-motion.de,Fernverkehr
bahninmotion.info,Fernverkehr
bahninmotion.net,Fernverkehr
bahn-in-motion.net,Fernverkehr
bahninmotion.org,Fernverkehr
bahn-in-motion.org,Fernverkehr
bahnkard.biz,Fernverkehr
bahnkard.com,Fernverkehr
bahnkard.de,Fernverkehr
bahnkard.info,Fernverkehr
bahnkard.net,Fernverkehr
bahnkard.org,Fernverkehr
bahnkarte.biz,Fernverkehr
bahnkarte.com,Fernverkehr
bahnkarte.info,Fernverkehr
bahnkarte.net,Fernverkehr
bahnkarte.org,Fernverkehr
bahnklimaticket.de,VT-Plattform (passiv)
bahn-klimaticket.de,VT-Plattform (passiv)
bahnkomfort.biz,Fernverkehr
bahn-komfort.biz,Fernverkehr
bahnkomfort.com,Fernverkehr
bahn-komfort.com,Fernverkehr
bahnkomfort.de,Fernverkehr
bahn-komfort.de,Fernverkehr
bahnkomfort.info,Fernverkehr
bahn-komfort.info,Fernverkehr
bahnmitfahrzentrale.de,Sonstige
bahn-mitfahrzentrale.de,P.DL
bahn-next.de,VT-Plattform (passiv)
bahn-online.com,Sonstige
bahn-online.de,P.DL
bahnplus.de,Fernverkehr
bahn-plus.de,Fernverkehr
bahnqr.de,Fernverkehr
bahn-radio.de,Sonstige
bahn-service.de,P.DL
bahnshop1435.net,Sonstige
bahntag.de,Sonstige
bahntaxi.de,Sonstige
bahn-taxi.de,Sonstige
bahntaxi.eu,Sonstige
bahnticketklima.de,DB Vertrieb
bahn-ticket-klima.de,DB Vertrieb
bahntickets.info,VT-Plattform (passiv)
bahntix.biz,P.DL
bahn-tix.biz,P.DL
bahntix.com,P.DL
bahn-tix.com,P.DL
bahntix.de,P.DL
bahn-tix.de,P.DL
bahntix.eu,P.DL
bahn-tix.eu,P.DL
bahntix.info,P.DL
bahn-tix.info,P.DL
bahntourismus.de,Sonstige
bahn-touristik.de,P.DL
bahntours.de,Sonstige
bahntours.eu,Sonstige
bahn-trip.com,Sonstige
bahn-trip.de,P.DL
bahn-umfrage.de,P.DL
bahnundkultur.de,P.DL
bahn-und-kultur.de,P.DL
bahnverbindung.de,VT-Plattform (passiv)
bajn.de,VT-Plattform (passiv)
bancard.biz,Fernverkehr
bancard.de,Fernverkehr
bancard.info,Fernverkehr
bc-100.de,Fernverkehr
belgiumonice.co.uk,Fernverkehr
belgium-on-ice.co.uk,Fernverkehr
betgiumonice.com,Fernverkehr
belgium-on-ice.com,Fernverkehr
berliner-s-bahn.de,Regio Schiene
besserpendeln.de,Sonstige
besser-pendeln.de,Sonstige
beta-bahn.de,VT-Plattform (passiv)
bhan.de,VT-Plattform (passiv)
bigbanner.de,Sonstige
blauerenzian.eu,Sonstige
boerdelandbahn.biz,Regio Schiene
boerdelandbahn.com,Regio Schiene
boerdelandbahn.de,Regio Schiene
boerdelandbahn.info,Regio Schiene
boerdelandbahn.net,Regio Schiene
boerdelandbahn.org,Regio Schiene
bonusbuch.de,Fernverkehr
bonus-buch.de,Fernverkehr
bot-bahn.de,P.DL
boxenstopp-hamburg.de,Fernverkehr
brsg.de,Sonstige
brs-meschede.de,Regio Bus
brusselsonice.co.uk,Fernverkehr
brussels-on-ice.co.uk,Fernverkehr
brusselsonice.com,Fernverkehr
brussels-on-ice.com,Fernverkehr
bsg-sicherheitsdienste.de,Sonstige
bundesbahn.de,Sonstige
businesstravelnavigator.biz,VT-Plattform (passiv)
business-travel-navigator.biz,VT-Plattform (passiv)
business travelnavigator.ch,VT-Plattform (passiv)
business-travel-navigator.ch,VT-Plattform (passiv)
businesstravelnavigator.com,VT-Plattform (passiv)
business-travel-navigator.com,VT-Plattform (passiv)
businesstravelnavigator.de,VT-Plattform (passiv)
businesstravelnavigator.info,VT-Plattform (passiv)
business-travel-navigator.info,VT-Plattform (passiv)
businesstravelnavigator.net,VT-Plattform (passiv)
business-travel-navigator.net,VT-Plattform (passiv)
businesstravelnavigator.org,VT-Plattform (passiv)
business-travel-navigator.org,VT-Plattform (passiv)
bus-schule.de,Regio Bus
busverkehr-bayern.de,Regio Bus
busverkehrhessen.de,Regio Bus
busverkehr-hessen.de,Regio Bus
busverkehr-ostwestfalen.de,Regio Bus
bvo-bustrips.de,Regio Bus
bvr-gmbh.de,Regio Bus
bvr-online.de,Regio Bus
casinocash.de,Sonstige
casino-cash.de,Sonstige
cdn-dbvbahn.de,VT-Plattform (passiv)
cdn-dbvbahn-tat.de,VT-Plattform (passiv)
chat-bahn.de,P.DL
chatbot-bahn.de,VT-Plattform (aktiv)
chemiebahn.de,Sonstige
chiemgaubahn.de,Regio Schiene
chiemgau-bahn.de,Regio Schiene
citaero.biz,Sonstige
citaero.com,Sonstige
citaero.de,Sonstige
citaero.info,Sonstige
citaero.net,Sonstige
citaero.org,Sonstige
citinightline.biz,Fernverkehr
citinightline.ch,Fernverkehr
citinightline.com,Fernverkehr
citinightline.de,Fernverkehr
citinightline.info,Fernverkehr
citinightline.net,Fernverkehr
citinightline.org,Fernverkehr
cityairportshuttle.biz,Sonstige
cityairportshuttle.de,Sonstige
cityairportshuttle.info,Sonstige
cityairportshuttle.net,Sonstige
cityairportshuttle.org,Sonstige
city-liner.eu,Sonstige
citynightline.be,Fernverkehr
citynightline.ch,Fernverkehr
citynightline.co.uk,Fernverkehr
citynightline.de,Fernverkehr
citynightline.fr,Fernverkehr
citynightline.it,Fernverkehr
citynightline.net,Fernverkehr
citynightline.org,Fernverkehr
citynightline-angebote.biz,Fernverkehr
citynightline-angebote.ch,Fernverkehr
citynightline-angebote.com,Fernverkehr
citynightline-angebote.de,Fernverkehr
citynightline-angebote.info,Fernverkehr
citynightline-angebote.net,Fernverkehr
citynightlineclub.ch,Fernverkehr
citynightline-club.ch,Fernverkehr
citynightline-lastminute.biz,Fernverkehr
citynightline-lastminute .ch,Fernverkehr
citynightline-iastminute.com,Fernverkehr
citynightline-lastminute.de,Fernverkehr
citynightline-lastminute.info,Fernverkehr
citynightline-lastminute.net,Fernverkehr
city-regio-bahn.eu,Regio Schiene
city-regio-express.eu,Regio Schiene
city-regio-shuttle.eu,Regio Schiene
city-regio-sprinter.eu,Regio Schiene
city-schaufenster.de,Sonstige
citysprinter.eu,Sonstige
city-sprinter.eu,Sonstige
climaticket.de,VT-Plattform (passiv)
clima-ticket.de,VT-Plattform (passiv)
cologne-by-rail.co.uk,Fernverkehr
cologneonice.co.uk,Fernverkehr
cologne-on-ice.co.uk,Fernverkehr
cologneonice.com,Fernverkehr
cologne-on-ice.com,Fernverkehr
comfort-bahn.de,Fernverkehr
comfort-status.de,Fernverkehr
corporatetravelplus.biz,Fernverkehr
corporate-travel-plus.biz,Fernverkehr
corporatetravelplus.ch,Fernverkehr
corporate-travel-plus.ch,Fernverkehr
corporatetravelplus.com,Fernverkehr
corporate-travel-plus.com,Fernverkehr
corporatetravelplus.de,Fernverkehr
corporate-travel-plus.de,Fernverkehr
corporatetravelplus.eu,Fernverkehr
corporate-travel-plus.eu,Fernverkehr
corporatetravelplus.info,Fernverkehr
corporate-travel-plus.info,Fernverkehr
corporatetravelplus.net,Fernverkehr
corporate-travel-plus.net,Fernverkehr
corporatetravelplus.org,Fernverkehr
corporate-travel-plus.org,Fernverkehr
dbabo.de,VT-Plattform (passiv)
dbagenturservice.de,P.DL
db-agenturservice.de,P.DL
dbahn.co.uk,Sonstige
dbahn.de,Sonstige
dbahs.de,Sonstige
db-ahs.de,Sonstige
dballround.de,Sonstige
db-auskunft.com,VT-Plattform (passiv)
dbautozug.eu,Fernverkehr
dbautozugsyltshuttle.eu,Fernverkehr
db-autozug-syltshuttle.eu,Fernverkehr
dbbahn.biz,Sonstige
db-bahn.biz,Sonstige
db-bahn.com,Sonstige
dbbahn.de,Sonstige
db-bahn.de,Sonstige
db-bahn.eu,Sonstige
db-bahn.info,Sonstige
dbbahn.net,Sonstige
db-bahn.net,Sonstige
dbbahn.org,Sonstige
db-bahn.org,Sonstige
db-bahn-auto.eu,Sonstige
db-bahnbau.com,Sonstige
db-bahnbau.de,Sonstige
dbbahncard.biz,Fernverkehr
db-bahncard.biz,Fernverkehr
db-bahn-card.biz,Sonstige
dbbahncard.de,Fernverkehr
db-bahncard.de,Fernverkehr
db-bahn-card.de,Fernverkehr
dbbahncard.eu,Fernverkehr
db-bahncard.eu,Fernverkehr
dbbahncard.info,Fernverkehr
db-bahncard.info,Fernverkehr
db-bahn-card.info,Fernverkehr
dbbahncomfort.biz,Fernverkehr
db-bahn-comfortbiz,Fernverkehr
dbbahncomfort.com,Fernverkehr
db-bahn-comfort.com,Fernverkehr
dbbahncomfort.de,Fernverkehr
db-bahn-comfort.de,Fernverkehr
dbbahncomfortinfo,Fernverkehr
db-bahn-comfort.info,Fernverkehr
dbbahnkomfort.biz,Fernverkehr
db-bahn-komfort.biz,Fernverkehr
dbbahnkomfort.com,Fernverkehr
db-bahn-komfort.com,Fernverkehr
dbbahnkomfort.de,Fernverkehr
db-bahn-komfort.de,Fernverkehr
dbbahnkomfort.info,Fernverkehr
db-bahn-komfort.info,Fernverkehr
dbbahntix.biz,P.DL
db-bahn-tix.biz,P.DL
dbbahntix.com,P.DL
db-bahn-tix.com,P.DL
dbbahntix.de,P.DL
db-bahn-tix.de,P.DL
dbbahntix.info,P.DL
db-bahn-tix.info,P.DL
db-bahn-touristik.de,Sonstige
dbbahnundauto.eu,Sonstige
db-belgie.be,Sonstige
db-belgique.be,Sonstige
db-benelux.be,Sonstige
db-benelux.com,VT-Plattform (passiv)
db-businesstravel.biz,Fernverkehr
db-businesstravel.com,Fernverkehr
db-businesstravel.de,Fernverkehr
db-businesstravel.eu,Fernverkehr
db-businesstravel.info,Fernverkehr
db-businesstravel.net,Fernverkehr
db-businesstravel.org,Fernverkehr
db-busverkehr-hessen.de,Regio Bus
dbcarda.eu,Fernverkehr
db-card-a.eu,Fernverkehr
db-cityscout.de,Sonstige
dbcomfort.de,Fernverkehr
dbcomfortliegewagen.eu,Fernverkehr
db-comfortliegewagen.eu,Fernverkehr
db-dialog.com,DB Vertrieb
dbdiebahn.biz,Sonstige
db-die-bahn.biz,Sonstige
dbdiebahn.de,Sonstige
db-die-bahn.de,Sonstige
dbdiebahn.info,Fernverkehr
db-die-bahn.info,Fernverkehr
db-exposcout.com,Sonstige
dbexposcout.de,Sonstige
dbexpo-scout.de,Sonstige
db-exposcout.de,Sonstige
db-expo-scout.de,Sonstige
dbfahrkarte.biz,VT-Plattform (passiv)
db-fahrkarte.biz,VT-Plattform (passiv)
dbfahrkarte.de,VT-Plattform (passiv)
db-fahrkarte.de,VT-Plattform (passiv)
dbfahrkarte.info,VT-Plattform (passiv)
db-fahrkarte.info,VT-Plattform (passiv)
dbfahrkarten.biz,VT-Plattform (passiv)
db-fahrkarten.biz,VT-Plattform (passiv)
dbfahrkarten.de,VT-Plattform (passiv)
db-fahrkarten.de,VT-Plattform (passiv)
dbfahrkarten.info,VT-Plattform (passiv)
db-fahrkarten.info,VT-Plattform (passiv)
dbfahrplan.de,VT-Plattform (passiv)
db-fahrplan.de,VT-Plattform (passiv)
db-fanbahncard.de,Fernverkehr
db-fernverkehr.com,Fernverkehr
db-fernverkehr-ag.de,Fernverkehr
db-france.fr,VT-Plattform (passiv)
db-ftz.de,Sonstige
dbgepaeckservice-bahn.de,VT-Plattform (passiv)
db-greatbritain.co.uk,Sonstige
dbicbus.com,Fernverkehr
dbice.co.uk,Fernverkehr
dbicesprinter.eu,Fernverkehr
db-idee.de,Sonstige
dbintercity.de,Fernverkehr
db-intercity.de,Fernverkehr
dbintercity.eu,Fernverkehr
dbinterregio.eu,Regio Schiene
db-italia.com,Sonstige
dbitalia.eu,Sonstige
db-italia.eu,Sonstige
dbitalia.it,VT-Plattform (passiv)
db-klassenfahrt.de,P.DL
db-lernwelt.com,Sonstige
db-lernwelt.de,Sonstige
db-lernwelt-registrierung.de,P.DL
db-lidl-ticket.de,Fernverkehr
db-m.de,Sonstige
dbm.info,Sonstige
dbmarktstand.de,Sonstige
db-marktstand.de,Sonstige
dbmedibus.de,Regio Bus
db-medibus.de,Regio Bus
dbmedien.de,Sonstige
dbmobilitaetskarte.eu,Fernverkehr
